core,source_file,testbench_file,synthesizable_intent,static_structure,named_interface_audit,python_reference_model,vhdl_2008_analysis,vhdl_elaboration,vhdl_self_checking_simulation,protocol_compliance,cdc_status,numerical_contract,synthesis,post_route_timing,preverified_release,release_level
bbq_add_sub_core,rtl/qualified_cores/bbq_add_sub_core.vhd,tb/qualified_cores/tb_bbq_add_sub_core.vhd,YES,PASS,PASS,PASS_178471_SUITE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,INTERNAL_FUNCTIONAL_CONTRACT_ONLY,SINGLE_CLOCK_OR_NO_ASYNC_CROSSING_IN_CORE; integration review required,Bit-exact modular add/subtract; unsigned carry/borrow and two’s-complement overflow,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_PLUS_ORACLE_EVIDENCE
bbq_axis_register_core,rtl/qualified_cores/bbq_axis_register_core.vhd,tb/qualified_cores/tb_bbq_axis_register_core.vhd,YES,PASS,PASS,NOT_PROVIDED,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,AXI4-Stream-style ready/valid subset; no formal AXI compliance claim,SINGLE_CLOCK_OR_NO_ASYNC_CROSSING_IN_CORE; integration review required,Functional contract documented in source/TB; no independent bit-exact oracle,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_WITH_STATIC_EVIDENCE
bbq_barrel_shifter_core,rtl/qualified_cores/bbq_barrel_shifter_core.vhd,tb/qualified_cores/tb_bbq_barrel_shifter_core.vhd,YES,PASS,PASS,PASS_178471_SUITE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,INTERNAL_FUNCTIONAL_CONTRACT_ONLY,SINGLE_CLOCK_OR_NO_ASYNC_CROSSING_IN_CORE; integration review required,Bit-exact logical/arithmetic shift and rotate,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_PLUS_ORACLE_EVIDENCE
bbq_crc16_core,rtl/qualified_cores/bbq_crc16_core.vhd,tb/qualified_cores/tb_bbq_crc16_core.vhd,YES,PASS,PASS,PASS_178471_SUITE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,INTERNAL_FUNCTIONAL_CONTRACT_ONLY,SINGLE_CLOCK_OR_NO_ASYNC_CROSSING_IN_CORE; integration review required,MSB-first CRC-16 recurrence with configurable polynomial and initial value,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_PLUS_ORACLE_EVIDENCE
bbq_divider_core,rtl/qualified_cores/bbq_divider_core.vhd,tb/qualified_cores/tb_bbq_divider_core.vhd,YES,PASS,PASS,PASS_178471_SUITE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,INTERNAL_FUNCTIONAL_CONTRACT_ONLY,SINGLE_CLOCK_OR_NO_ASYNC_CROSSING_IN_CORE; integration review required,Exact unsigned quotient/remainder; defined divide-by-zero response,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_PLUS_ORACLE_EVIDENCE
bbq_dual_port_ram_core,rtl/qualified_cores/bbq_dual_port_ram_core.vhd,tb/qualified_cores/tb_bbq_dual_port_ram_core.vhd,YES,PASS,PASS,NOT_PROVIDED,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,Single-clock dual-port RAM; read-during-write semantics documented,SINGLE_CLOCK_OR_NO_ASYNC_CROSSING_IN_CORE; integration review required,Functional contract documented in source/TB; no independent bit-exact oracle,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_WITH_STATIC_EVIDENCE
bbq_edge_detector_core,rtl/qualified_cores/bbq_edge_detector_core.vhd,tb/qualified_cores/tb_bbq_edge_detector_core.vhd,YES,PASS,PASS,NOT_PROVIDED,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,Asynchronous input synchronizer plus edge-pulse contract,2-FF single-bit synchronizer; ASYNC_REG attribute present; integration CDC tool still required,Functional contract documented in source/TB; no independent bit-exact oracle,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_WITH_STATIC_EVIDENCE
bbq_fixed_point_rescale_core,rtl/qualified_cores/bbq_fixed_point_rescale_core.vhd,tb/qualified_cores/tb_bbq_fixed_point_rescale_core.vhd,YES,PASS,PASS,PASS_178471_SUITE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,INTERNAL_FUNCTIONAL_CONTRACT_ONLY,SINGLE_CLOCK_OR_NO_ASYNC_CROSSING_IN_CORE; integration review required,Two’s-complement right rescale; nearest ties away from zero; optional saturation,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_PLUS_ORACLE_EVIDENCE
bbq_gray_counter_core,rtl/qualified_cores/bbq_gray_counter_core.vhd,tb/qualified_cores/tb_bbq_gray_counter_core.vhd,YES,PASS,PASS,NOT_PROVIDED,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,Single-clock binary/Gray count contract,SINGLE_CLOCK_OR_NO_ASYNC_CROSSING_IN_CORE; integration review required,Functional contract documented in source/TB; no independent bit-exact oracle,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_WITH_STATIC_EVIDENCE
bbq_lfsr_core,rtl/qualified_cores/bbq_lfsr_core.vhd,tb/qualified_cores/tb_bbq_lfsr_core.vhd,YES,PASS,PASS,PASS_178471_SUITE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,INTERNAL_FUNCTIONAL_CONTRACT_ONLY,SINGLE_CLOCK_OR_NO_ASYNC_CROSSING_IN_CORE; integration review required,Bit-exact Fibonacci/Galois-style masked step as documented,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_PLUS_ORACLE_EVIDENCE
bbq_moving_average_core,rtl/qualified_cores/bbq_moving_average_core.vhd,tb/qualified_cores/tb_bbq_moving_average_core.vhd,YES,PASS,PASS,PASS_178471_SUITE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,INTERNAL_FUNCTIONAL_CONTRACT_ONLY,SINGLE_CLOCK_OR_NO_ASYNC_CROSSING_IN_CORE; integration review required,Running integer average; truncation toward zero,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_PLUS_ORACLE_EVIDENCE
bbq_parity_core,rtl/qualified_cores/bbq_parity_core.vhd,tb/qualified_cores/tb_bbq_parity_core.vhd,YES,PASS,PASS,NOT_PROVIDED,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,INTERNAL_FUNCTIONAL_CONTRACT_ONLY,SINGLE_CLOCK_OR_NO_ASYNC_CROSSING_IN_CORE; integration review required,Exact even/odd parity,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_WITH_STATIC_EVIDENCE
bbq_popcount_core,rtl/qualified_cores/bbq_popcount_core.vhd,tb/qualified_cores/tb_bbq_popcount_core.vhd,YES,PASS,PASS,NOT_PROVIDED,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,INTERNAL_FUNCTIONAL_CONTRACT_ONLY,SINGLE_CLOCK_OR_NO_ASYNC_CROSSING_IN_CORE; integration review required,Exact Hamming-weight count,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_WITH_STATIC_EVIDENCE
bbq_priority_encoder_core,rtl/qualified_cores/bbq_priority_encoder_core.vhd,tb/qualified_cores/tb_bbq_priority_encoder_core.vhd,YES,PASS,PASS,PASS_178471_SUITE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,NOT_RUN_GHDL_UNAVAILABLE,INTERNAL_FUNCTIONAL_CONTRACT_ONLY,SINGLE_CLOCK_OR_NO_ASYNC_CROSSING_IN_CORE; integration review required,Exact high/low priority selection,NOT_RUN_TARGET_AND_TOOL_REQUIRED,NOT_RUN_EXACT_PART_CONSTRAINTS_AND_TOOL_REQUIRED,NO,L1_REFERENCE_PLUS_ORACLE_EVIDENCE
