block_id,name,category,subcategory,origin,function,archetype,implementation_tier,protocol_status,timing_status,cdc_status,numeric_status,core,source_file,testbench_file,static_validation,ghdl_analysis,functional_simulation
0001,uart_spi_protocol_bridge,Communication,UART,User-provided starting list,Reusable uart spi protocol bridge block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/uart_spi_protocol_bridge.vhd,tb/blocks/communication/tb_uart_spi_protocol_bridge.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0002,uart_core,Communication,UART,User-provided starting list,Reusable uart core block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/uart_core.vhd,tb/blocks/communication/tb_uart_core.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0003,uart_rx,Communication,UART,User-provided starting list,Reusable uart rx block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,uart_rx,A,UART framing implemented; system-level electrical/tolerance validation required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_uart_rx_core,rtl/blocks/communication/uart_rx.vhd,tb/blocks/communication/tb_uart_rx.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0004,uart_tx,Communication,UART,User-provided starting list,Reusable uart tx block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,uart_tx,A,UART framing implemented; system-level electrical/tolerance validation required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_uart_tx_core,rtl/blocks/communication/uart_tx.vhd,tb/blocks/communication/tb_uart_tx.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0005,uart_packet_protocol,Communication,UART,User-provided starting list,Reusable uart packet protocol block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/uart_packet_protocol.vhd,tb/blocks/communication/tb_uart_packet_protocol.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0006,spi_controller,Communication,SPI,User-provided starting list,Reusable spi controller block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/spi_controller.vhd,tb/blocks/communication/tb_spi_controller.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0007,spi_master,Communication,SPI,User-provided starting list,Reusable spi master block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/spi_master.vhd,tb/blocks/communication/tb_spi_master.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0008,spi_slave,Communication,SPI,User-provided starting list,Reusable spi slave block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/spi_slave.vhd,tb/blocks/communication/tb_spi_slave.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0009,i2c_controller,Communication,I2C,User-provided starting list,Reusable i2c controller block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/i2c_controller.vhd,tb/blocks/communication/tb_i2c_controller.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
0010,i2c_master,Communication,I2C,User-provided starting list,Reusable i2c master block for communication designs; intended as a parameterized RTL subsystem rather than a fixed vendor primitive.,protocol_shell,C,integration_shell_only; external compliant controller/PHY/VIP required,"requires synthesis, place-and-route, and constraints for the selected FPGA/clock",single_clock_default; integration CDC review required,application-specific; reference model required,bb_protocol_shell_core,rtl/blocks/communication/i2c_master.vhd,tb/blocks/communication/tb_i2c_master.vhd,PASS,NOT_RUN_IN_GENERATION_ENVIRONMENT,SELF_TEST_SUPPLIED_NOT_EXECUTED
